system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,pai,.geo
00120000000000006d90_0,5736,5380,5104,5569,5800,5849,6032,-3646,32767,833,9,621,863,897,1279,2053,2300,2898,13805,32767,5272,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.656222379934496,50.79932783699509]}"
00120000000000006d92_0,5540,5220,4936,5396,5667,5692,5876,-3879,32767,869,9,513,927,1120,1739,3237,3849,2964,7897,32767,4515,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.654896340939425,50.79582804527278]}"
00120000000000006da2_0,5592,5236,4964,5377,5634,5675,5928,-3870,32767,885,9,2898,2598,2544,3271,4029,4350,4356,-21428,32767,2626,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.671100325828263,50.797804329541876]}"
00120000000000006db4_0,5004,4740,4476,4906,5311,5406,5456,-4696,32767,986,9,739,811,643,1108,2889,3515,3572,32767,32767,6948,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.68193656277552,50.79162628623393]}"
00120000000000006dca_0,5204,4972,4828,5396,5774,5887,5884,-6320,32767,985,9,1021,1206,1012,1336,2806,3332,3464,32615,32767,5478,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.702072216614717,50.79087733214178]}"
00120000000000006ded_0,4232,4036,3890,4340,4872,5055,5088,-9045,32767,1334,9,3604,3332,2844,3178,3586,3682,4504,-7599,32767,2259,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.728372234263475,50.78514043768034]}"
00120000000000006dff_0,3868,3564,3308,3696,4310,4487,4820,-8707,32767,1860,9,881,1042,1166,1637,2273,2551,1852,7651,32767,2273,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.742518364471634,50.78262314241496]}"
00120000000000006e27_0,4684,4252,4128,4582,5188,5348,5508,-7109,32767,1432,9,7088,6528,6288,6655,6486,6377,6572,-801,32767,220,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.77551290596247,50.77917096377286]}"
00120000000000006e2a_0,4828,4596,4244,4823,5377,5566,5712,-7291,32767,1474,9,6836,6328,6032,6289,6081,6022,6288,-728,-32768,207,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.777917989941907,50.77879522807064]}"
00120000000000006e38_0,4504,4408,4192,4760,5370,5589,5716,-13088,32767,1538,9,5200,4984,4888,5212,5291,5267,5260,-2108,32767,366,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.788806756323973,50.77683356626777]}"
00120000000000006e4b_0,3166,3206,3152,3562,4088,4307,4260,-32768,32767,1494,9,8904,8288,7912,8309,7971,7729,7868,96,-32768,-27,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.801630792205334,50.77197983197076]}"
00120000000000006e63_0,5204,4740,4344,4331,4763,4869,6012,-5997,32767,1610,9,9272,8528,7940,8331,7849,7513,7960,-35,-32768,12,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.820435598195683,50.76870150717079]}"
00120000000000006e85_0,1402,1520,1366,1854,3333,3850,4168,32767,32767,5063,10,1284,1328,1328,1713,2513,2861,2850,32001,32767,3642,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.850775941150598,50.76830427352156]}"
