system:index,20201230T103441_20201230T103436_T32UNC_B2,20201230T103441_20201230T103436_T32UNC_B3,20201230T103441_20201230T103436_T32UNC_B4,20201230T103441_20201230T103436_T32UNC_B5,20201230T103441_20201230T103436_T32UNC_B6,20201230T103441_20201230T103436_T32UNC_B7,20201230T103441_20201230T103436_T32UNC_B8,20201230T103441_20201230T103436_T32UNC_EVI,20201230T103441_20201230T103436_T32UNC_IRECI,20201230T103441_20201230T103436_T32UNC_NDVI,20201230T103441_20201230T103436_T32UNC_SCL,pai,.geo
00000000000000005cc5_0,1266,1260,1272,1803,2366,2592,2940,32767,32767,3960,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.045713406041731,51.47252878934559]}"
00000000000000005ce1_0,691,563,688,1063,1513,1765,1980,32767,32767,4842,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.068464936575491,51.474405985520384]}"
00000000000000005da4_0,857,813,856,1093,1501,1499,1690,32767,32767,3275,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.227918796678038,51.48688289542057]}"
00000000000000005da5_0,861,919,651,1123,2057,2170,2266,-32768,32767,5536,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.228783386368693,51.486971129743225]}"
00000000000000005db9_0,449,500,447,692,1093,1180,1296,32767,32767,4870,2,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.245785401319091,51.48828549741265]}"
00000000000000005dd2_0,1314,1384,1382,1589,1905,1996,2254,31502,32767,2398,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.26610320160998,51.48994959556145]}"
00000000000000005ddc_0,1354,1426,1432,1922,2424,2559,2874,27477,32767,3348,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.274316829110933,51.49056009663589]}"
00000000000000005e03_0,3470,3288,3210,3899,4382,4321,4720,-18468,32767,1904,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.306021174871725,51.4929993567849]}"
00000000000000005e15_0,6324,5204,5048,5717,5930,5807,6996,-4800,32767,1617,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.321442466303244,51.494216955571304]}"
00000000000000005e16_0,6364,6092,5980,6391,6387,6290,7476,-8552,32767,1111,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.322307371982939,51.49430449977928]}"
00000000000000005e17_0,6256,5904,6000,6938,7214,7114,7320,-9169,32767,990,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.32317228094819,51.494392037602395]}"
00000000000000005e33_0,4552,4324,4436,5076,5182,5252,5260,-9102,32767,849,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.345945087586664,51.49612543618089]}"
00000000000000005e4d_0,4648,4236,3984,4664,5182,5441,5888,-9394,32767,1928,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.367133537474734,51.49767954892665]}"
00000000000000005e80_0,6808,6524,6192,6406,6144,5862,7940,-7323,-32768,1236,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.4085078493408,51.5009596269992]}"
00000000000000005eaa_0,11056,10096,10648,11639,11571,11376,11728,-3697,32767,482,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.443542607823199,51.503619834496625]}"
00000000000000005ee3_0,9208,8832,9208,10196,10078,10051,9680,-2856,32767,249,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.490118411368025,51.50721102566816]}"
00000000000000005ee9_0,6740,6344,6480,7087,7280,7456,7228,-4210,32767,545,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.494877051620524,51.50755071821568]}"
00000000000000005f19_0,5316,4828,5124,6004,6096,6159,5504,-2623,32767,357,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.533960465810583,51.5105264536061]}"
00000000000000005f2a_0,6820,6152,6368,6979,6701,6538,6984,-2585,32767,461,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.547807359118451,51.511631541635495]}"
00000000000000005f3a_0,3286,2986,3082,3430,3604,3603,3746,-6899,32767,972,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.56093220610037,51.512558614789064]}"
00000000000000009e1c_0,730,789,802,1190,1566,1779,2004,22391,32767,4283,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.045852788187851,51.46794292999902]}"
00000000000000009e35_0,489,382,482,886,1273,1502,1874,31650,32767,5908,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.066874001756414,51.46955134641236]}"
00000000000000009f14_0,543,592,775,1033,1539,1753,1750,10468,32767,3861,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.250083106920243,51.48405028137558]}"
00000000000000009fd2_0,5968,5612,5876,6652,7031,7074,7264,-15497,32767,1056,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.405438600634602,51.496024796619125]}"
00000000000000009ff0_0,8200,7364,7216,7944,7940,7891,8992,-4820,32767,1095,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.429801532040061,51.497916246740736]}"
00000000000000009ff8_0,9720,8968,9096,10025,9965,9718,10528,-4592,32767,729,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.436289159875573,51.49843180222996]}"
0000000000000000a024_0,5360,5004,5200,6048,6352,6476,6224,-9225,32767,896,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.472043861770294,51.5010808173753]}"
0000000000000000a056_0,5752,5080,5068,5580,5531,5402,5780,-2560,32767,656,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.512995271040724,51.50423583450795]}"
0000000000000000dfb0_0,665,687,543,1044,2201,2389,2400,32767,32767,6309,4,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.029724176885862,51.4609345365607]}"
0000000000000000e0b0_0,334,469,249,700,1497,1579,1666,32767,32767,7399,3,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.241120558516098,51.47768488941387]}"
