system:index,20200829T102031_20200829T102249_T32UNB_B2,20200829T102031_20200829T102249_T32UNB_B3,20200829T102031_20200829T102249_T32UNB_B4,20200829T102031_20200829T102249_T32UNB_B5,20200829T102031_20200829T102249_T32UNB_B6,20200829T102031_20200829T102249_T32UNB_B7,20200829T102031_20200829T102249_T32UNB_B8,20200829T102031_20200829T102249_T32UNB_EVI,20200829T102031_20200829T102249_T32UNB_IRECI,20200829T102031_20200829T102249_T32UNB_NDVI,20200829T102031_20200829T102249_T32UNB_SCL,20200901T103031_20200901T103505_T32UNB_B2,20200901T103031_20200901T103505_T32UNB_B3,20200901T103031_20200901T103505_T32UNB_B4,20200901T103031_20200901T103505_T32UNB_B5,20200901T103031_20200901T103505_T32UNB_B6,20200901T103031_20200901T103505_T32UNB_B7,20200901T103031_20200901T103505_T32UNB_B8,20200901T103031_20200901T103505_T32UNB_EVI,20200901T103031_20200901T103505_T32UNB_IRECI,20200901T103031_20200901T103505_T32UNB_NDVI,20200901T103031_20200901T103505_T32UNB_SCL,.geo
0012000000000001376f_5,4552,4252,4024,4510,5262,5637,5880,-11275,32767,1873,9,7360,7448,7192,7611,7391,7266,7072,603,32767,-84,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.788144266939268,50.77117244216097]}"
0012000000000001376f_6,4576,4228,4052,4501,5261,5637,5832,-10658,32767,1800,9,6888,7040,6948,7092,6803,6765,6732,1667,-32768,-157,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.788286068946146,50.77117148386785]}"
00120000000000013796_0,4452,4220,3654,4055,4548,4534,5512,-7802,32767,2027,9,9296,8472,8184,8562,8121,7820,7940,481,-32768,-151,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816379303725283,50.763783795964116]}"
00120000000000013796_1,4560,4048,3420,3594,4134,4241,5436,-6114,32767,2276,9,9376,8496,8164,8536,8126,7857,7912,469,-32768,-156,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816521082419376,50.763782803449054]}"
00120000000000013796_2,4512,3948,3250,3594,4134,4241,5448,-6180,32767,2527,9,9368,8592,8200,8536,8126,7857,8024,337,-32768,-108,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816662861105467,50.76378181076168]}"
00120000000000013796_3,4636,4312,3816,4055,4548,4534,5576,-6987,32767,1873,9,9232,8552,8296,8562,8121,7820,7868,922,-32768,-264,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816377738938117,50.76369387643966]}"
00120000000000013796_4,4724,4272,3650,3594,4134,4241,5612,-6195,32767,2118,9,9328,8552,8224,8536,8126,7857,7896,644,-32768,-203,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816519517360533,50.76369288392776]}"
00120000000000013796_5,4764,4196,3506,3594,4134,4241,5656,-5947,32767,2346,9,9344,8632,8200,8536,8126,7857,8024,342,-32768,-108,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816661295774942,50.76369189124354]}"
00120000000000013796_6,4560,4476,4016,4438,4877,4866,5708,-9624,32767,1740,9,9264,8680,8336,8561,8138,7824,7868,1009,-32768,-288,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816376174158956,50.76360395691378]}"
00120000000000013796_7,4488,4508,3962,4162,4444,4457,5752,-10822,32767,1842,9,9328,8576,8288,8594,8146,7935,7944,699,-32768,-211,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816517952309692,50.76360296440504]}"
00120000000000013796_8,4600,4516,3708,4162,4444,4457,5668,-7443,32767,2090,9,9416,8680,8224,8594,8146,7935,8056,317,-32768,-103,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.816659730452423,50.76360197172397]}"
001200000000000137a0_0,6344,6724,7052,7841,8517,8762,8124,9380,32767,706,9,9872,9320,8928,9313,8771,8449,8624,641,-32768,-173,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.824153424883104,50.762380161331826]}"
001200000000000137a0_1,6624,6940,7060,7841,8517,8762,8288,31682,32767,800,9,9664,9256,8928,9313,8771,8449,8488,1055,-32768,-252,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.824295199059858,50.76237915938664]}"
001200000000000137a0_2,6772,6896,6900,7943,8573,8806,8376,-32768,32767,966,9,9552,9064,8888,9288,8746,8412,8336,1383,-32768,-320,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.82443697322853,50.762378157269126]}"
001200000000000137a0_3,6064,6400,6768,7385,8033,8300,7768,8629,32767,687,9,10040,9376,8888,9220,8642,8285,8704,346,-32768,-104,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.824151845274848,50.76229024196048]}"
001200000000000137a0_4,6240,6612,6800,7385,8033,8300,7964,14809,32767,788,9,9864,9280,8928,9220,8642,8285,8576,743,-32768,-201,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.824293619179945,50.762289240018475]}"
001200000000000137a0_5,6548,6776,6864,7449,8142,8374,8192,32767,32767,882,9,9728,9224,8968,9209,8662,8361,8536,1017,-32768,-246,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.82443539307696,50.76228823790416]}"
